section_id,report_id,year,section_index,heading,all_headings_same_start,heading_sources,theme,start_pdf_page,end_pdf_page,word_count,section_text_path
R2013_S041,R2013,2013,41,"Bra självskattad hälsa, utan besvär av ängslan oro eller ångest samt utan besvär av ensamhet 97","Bra självskattad hälsa, utan besvär av ängslan oro eller ångest samt utan besvär av ensamhet 97",toc,psykisk_halsa_ensamhet_alkohol,98,136,19087,data/corpus_2026/texts/sections/2013/R2013_S041_bra-sjalvskattad-halsa-utan-besvar-av-angslan-oro.txt
R2014_S001,R2014,2014,1,Stroke,"Äldre i Sverige och världen | Äldres hälsoproblem | Äldres livssituation och hälsa | Bättre liv för sjuka äldre | Betalningsansvar och utskrivningsklara | Demenssjukdom | Fall och fallskador | Fall, undernäring, trycksår och munhälsa | Frakturer på lår och höft | Friska äldre | Hälso- och sjukvård i ordinärt boende, eller ”hemsjukvård” | Indikatorer för sammanhållen vård och omsorg | Indikatorutveckling inom området sammanhållen vård och omsorg | Påverkbar sjukhusvård för äldre | Psykisk ohälsa | Rehabilitering och funktionsförmåga efter stroke | Riskförebyggande vård och omsorg | Sammanhållen vård och omsorg | Självständighet, rehabilitering och hjälpmedel | Stroke | Utmaningar och möjligheter | Vård i livets slut | Webbkollen",xlsx_heading_search,ovrigt,7,7,183,data/corpus_2026/texts/sections/2014/R2014_S001_stroke.txt
R2014_S002,R2014,2014,2,Bemötande,Användning av antipsykotiska läkemedel hos äldre | Bedömning av hemtjänsten i sin helhet | Bemötande | Boendemiljön | De äldres bedömning av omsorgen i sin helhet | Hänsyn till åsikter och önskemål | Hemtjänst | Indikatorer för omsorg och stöd i ordinärt boende | Indikatorer för stöd och hjälp i särskilt boende | Indikatorer i Öppna jämförelser | Inflytande och delaktighet | Kommunens ansvar och utförare | Kommunens information på webben | Läkemedel | Mat och måltidsmiljö | Möjlighet att framföra synpunkter eller klagomål | Möjlighet att påverka tider | Olämpliga läkemedel | Omsorg och stöd i ordinärt och särskilt boende | Personalkontinuitet | Sammanfattande resultat från undersökningen Vad tycker de äldre om äldreomsorgen? | Särskilt boende | Tillgång till personal i särskilt boende | Tillgänglighet | Tillräckligt med tid | Tio eller fler läkemedel | Tre eller fler psykofarmaka bland äldre | Upplevelse av trygghet i ordinärt boende | Upplevelse av trygghet i särskilt boende | Utevistelse och aktiviteter | Utvecklingsarbete inom området mat och måltidsmiljö | Väntetider till särskilt boende | Vård och omsorg vid demenssjukdom,xlsx_heading_search,brukarperspektiv_och_kvalitet,8,8,215,data/corpus_2026/texts/sections/2014/R2014_S002_bemotande.txt
R2014_S003,R2014,2014,3,"Indikatorerna benämns åtgärder mot fall, undernäring,","Indikatorerna benämns åtgärder mot fall, undernäring,",toc,lakemedel_och_patientsakerhet,9,10,662,data/corpus_2026/texts/sections/2014/R2014_S003_indikatorerna-benamns-atgarder-mot-fall-undernarin.txt
R2014_S004,R2014,2014,4,insatser för vård och omsorg kan förbättras och utvecklas. Att uppnå goda resultat inom samtliga dimensioner för god vård och omsorg är ett mål att sträva efter.,insatser för vård och omsorg kan förbättras och utvecklas. Att uppnå goda resultat inom samtliga dimensioner för god vård och omsorg är ett mål att sträva efter.,toc,ovrigt,11,11,678,data/corpus_2026/texts/sections/2014/R2014_S004_insatser-for-vard-och-omsorg-kan-forbattras-och-ut.txt
R2014_S005,R2014,2014,5,"relativa, och varken rikets medelvärde eller ett grönt resul -","relativa, och varken rikets medelvärde eller ett grönt resul -",toc,ovrigt,12,13,610,data/corpus_2026/texts/sections/2014/R2014_S005_relativa-och-varken-rikets-medelvarde-eller-ett-gr.txt
R2014_S006,R2014,2014,6,uppdrag Resurs- användning Produktions- volym Eﬀekt- resultat Mål- uppfyllelse Eﬀektivitet Produktivitet Process- kvalitet,uppdrag Resurs- användning Produktions- volym Eﬀekt- resultat Mål- uppfyllelse Eﬀektivitet Produktivitet Process- kvalitet,toc,brukarperspektiv_och_kvalitet,14,14,866,data/corpus_2026/texts/sections/2014/R2014_S006_uppdrag-resurs-anvandning-produktions-volym-effekt.txt
R2014_S007,R2014,2014,7,"80-tal kommuner medverkar inom äldreomsorgen, gör det möjligt att analysera effektiviteten [3,4].","80-tal kommuner medverkar inom äldreomsorgen, gör det möjligt att analysera effektiviteten [3,4].",toc,ovrigt,15,15,555,data/corpus_2026/texts/sections/2014/R2014_S007_80-tal-kommuner-medverkar-inom-aldreomsorgen-gor-d.txt
R2014_S008,R2014,2014,8,• fysisk aktivitet • goda matvanor.,• fysisk aktivitet • goda matvanor.,toc,brukarperspektiv_och_kvalitet,16,64,26058,data/corpus_2026/texts/sections/2014/R2014_S008_fysisk-aktivitet-goda-matvanor.txt
R2014_S009,R2014,2014,9,nya indikatorn heter frakturer på lår och höft och visar antalet frakturer på lår och höft per 100 000 invånare,"nya indikatorn heter frakturer på lår och höft och visar antalet frakturer på lår och höft per 100 000 invånare | till en ökad medellivslängd [6]. Sedan 1990-talet har med- ellivslängden ökat för både kvinnor och män i Sverige. År 2013 var medellivslängden för kvinnor drygt 84 år, och för män drygt 80 år. Den återstående medellivslängden vid",toc,metod_indikatorer_och_datakallor,65,154,48728,data/corpus_2026/texts/sections/2014/R2014_S009_nya-indikatorn-heter-frakturer-pa-lar-och-hoft-och.txt
R2015_S001,R2015,2015,1,"För att tolka resultatet på en indikator är det viktigt att gå tillbaka till datakällan för att få förståelse för indikatorns uppbyggnad, vad den avser att mäta, täckningsgrad, mät- period och svarsfrekvens. Denna information finns i bilaga","För att tolka resultatet på en indikator är det viktigt att gå tillbaka till datakällan för att få förståelse för indikatorns uppbyggnad, vad den avser att mäta, täckningsgrad, mät- period och svarsfrekvens. Denna information finns i bilaga",toc,brukarperspektiv_och_kvalitet,2,6,458,data/corpus_2026/texts/sections/2015/R2015_S001_for-att-tolka-resultatet-pa-en-indikator-ar-det-vi.txt
R2015_S002,R2015,2015,2,Stroke,"Äldre i Sverige | Äldres boende | Äldres hälsa och livssituation | Äldres hälsoproblem | Bemötande, förtroende och trygghet i hemtjänst | Demenssjukdomar | Fall och frakturer | Förändring av självskattad hälsa för hemtjänsttagare 65 år och äldre | Hälsosamt åldrande, livsvillkor och vanor | Indikatorer för vård och omsorg i ordinärt boende | Inflytande och tillräckligt med tid i hemtjänsten | Kommunens ansvar och utförare | Kontakt med personal i ordinärt boende | Nya indikatorer | Personalkontinuitet i hemtjänsten | Psykisk ohälsa | Riskförebyggande vård och omsorg i ordinärt boende | Stroke | Tvångs- och begränsningsåtgärder | Vård och omsorg i ordinärt och särskilt boende",xlsx_heading_search,ovrigt,7,7,200,data/corpus_2026/texts/sections/2015/R2015_S002_stroke.txt
R2015_S003,R2015,2015,3,Läkemedel,"Aktiviteter och känsla av ensamhet i särskilt boende | Antipsykotiska läkemedel | Antipsykotiska läkemedel i hemtjänsten | Antipsykotiska läkemedel i särskilt boende | Bedömning av hemtjänsten i sin helhet | Bedömning av särskilt boende i sin helhet | Bemötande, förtroende och trygghet i särskilt boende | Bevara hälsa och självständighet | Boendemiljö i särskilt boende | Bruk av tryckavlastande underlag | Brytpunktsamtal | eHälsa och välfärdsteknik | Fallskador, 80 år och äldre | Flera sätt för säkrare läkemedelsanvändning | Frakturer på lår och höft bland personer 65 år och äldre | Funktionsförmåga 12 månader efter stroke | Hemsjukvård och kommunal hälso- och sjukvård | Indikatorer för sammanhållen vård och omsorg | Indikatorer för vård och omsorg i särskilt boende | Kommunal hälso- och sjukvård, en del av det samlade hälso- och sjukvårdssystemet | Kontakt med personal i särskilt boende | Läkemedel | Läkemedelsbiverkningar orsakar akutsjukvård | Läkemedelsgenomgångar | Mat och måltidsmiljö i särskilt boende | Möjlighet att påverka i särskilt boende | Olämpliga läkemedel | Olämpliga läkemedel i hemtjänsten | Olämpliga läkemedel i särskilt boende | Riskförebyggande vård och omsorg i särskilt boende för äldre | Sammanhållen vård och omsorg | Smärtskattning sista levnadsveckan | Teambaserat arbetssätt | Tillgodosedda rehabiliteringsbehov efter stroke | Tio eller fler läkemedel | Tio eller fler läkemedel i hemtjänsten | Tio eller fler läkemedel i särskilt boende | Tre eller fler psykofarmaka | Tre eller fler psykofarmaka i hemtjänsten | Tre eller fler psykofarmaka i särskilt boende | Utmaningar och möjligheter | Utskrivningsklara | Väntetid till särskilt boende | Webbkollen",xlsx_heading_search,lakemedel_och_patientsakerhet,8,8,303,data/corpus_2026/texts/sections/2015/R2015_S003_lakemedel.txt
R2015_S004,R2015,2015,4,Indikatorer,Bakgrundsmått | Datakällor i årets rapport . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9 Nationella enkätundersökningar | Indikatorer | Nationella kvalitetsregister | Officiell statistik,toc,metod_indikatorer_och_datakallor,9,11,1735,data/corpus_2026/texts/sections/2015/R2015_S004_indikatorer.txt
R2015_S005,R2015,2015,5,Analysera resultatet lokalt och regionalt,Analysera resultatet lokalt och regionalt | Gruppindelad statistik . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .12 Resultat och analys på enhets- och verksamhetsnivå,toc,ovrigt,12,13,455,data/corpus_2026/texts/sections/2015/R2015_S005_analysera-resultatet-lokalt-och-regionalt.txt
R2015_S006,R2015,2015,6,"år och äldre i särskilt boende behandlades med olämpliga läkemedel, vilket är en förbättring med drygt en procent- enhet jämfört med föregående mätperiod. • Män har bättre resultat än kvinnor för 10 av de","år och äldre i särskilt boende behandlades med olämpliga läkemedel, vilket är en förbättring med drygt en procent- enhet jämfört med föregående mätperiod. • Män har bättre resultat än kvinnor för 10 av de",toc,omsorgsinsatser_och_boende,14,14,866,data/corpus_2026/texts/sections/2015/R2015_S006_ar-och-aldre-i-sarskilt-boende-behandlades-med-ola.txt
R2015_S007,R2015,2015,7,• Äldre personer med hemtjänst träffar i genomsnitt,• Äldre personer med hemtjänst träffar i genomsnitt,toc,omsorgsinsatser_och_boende,15,16,602,data/corpus_2026/texts/sections/2015/R2015_S007_aldre-personer-med-hemtjanst-traffar-i-genomsnitt.txt
R2015_S008,R2015,2015,8,Äldre i Sverige,Äldre i Sverige,toc,ovrigt,17,17,253,data/corpus_2026/texts/sections/2015/R2015_S008_aldre-i-sverige.txt
R2015_S009,R2015,2015,9,Äldres hälsoproblem . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .18 Fall och frakturer,Äldres hälsoproblem . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .18 Fall och frakturer,toc,lakemedel_och_patientsakerhet,18,18,316,data/corpus_2026/texts/sections/2015/R2015_S009_aldres-halsoproblem-18-fall-och-frakturer.txt
R2015_S010,R2015,2015,10,Demenssjukdomar,Demenssjukdomar,toc,ovrigt,19,19,718,data/corpus_2026/texts/sections/2015/R2015_S010_demenssjukdomar.txt
R2015_S011,R2015,2015,11,Stroke,Psykisk ohälsa | Stroke | Tvångs- och begränsningsåtgärder,toc,ovrigt,20,38,9716,data/corpus_2026/texts/sections/2015/R2015_S011_stroke.txt
R2015_S012,R2015,2015,12,Teambaserat arbetssätt,Bevara hälsa och självständighet | Teambaserat arbetssätt,toc,ovrigt,39,46,4109,data/corpus_2026/texts/sections/2015/R2015_S012_teambaserat-arbetssatt.txt
R2015_S013,R2015,2015,13,Läkemedel . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .47 Läkemedelsbiverkningar orsakar akutsjukvård,Läkemedel . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .47 Läkemedelsbiverkningar orsakar akutsjukvård,toc,kommunal_halso_och_sjukvard,47,47,806,data/corpus_2026/texts/sections/2015/R2015_S013_lakemedel-47-lakemedelsbiverkningar-orsakar-akutsj.txt
R2015_S014,R2015,2015,14,Läkemedelsgenomgångar,Flera sätt för säkrare läkemedelsanvändning | Läkemedelsgenomgångar | Tre eller fler psykofarmaka . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .48 24. Tre eller fler psykofarmaka i hemtjänsten,toc,lakemedel_och_patientsakerhet,48,48,625,data/corpus_2026/texts/sections/2015/R2015_S014_lakemedelsgenomgangar.txt
R2015_S015,R2015,2015,15,27. Tio eller fler läkemedel i särskilt boende,25. Tre eller fler psykofarmaka i särskilt boende | 27. Tio eller fler läkemedel i särskilt boende | Tio eller fler läkemedel . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .49 26. Tio eller fler läkemedel i hemtjänsten,toc,omsorgsinsatser_och_boende,49,50,1375,data/corpus_2026/texts/sections/2015/R2015_S015_27-tio-eller-fler-lakemedel-i-sarskilt-boende.txt
R2015_S016,R2015,2015,16,29. Olämpliga läkemedel i särskilt boende,29. Olämpliga läkemedel i särskilt boende | 31. Antipsykotiska läkemedel i särskilt boende | Antipsykotiska läkemedel . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .51 30. Antipsykotiska läkemedel i hemtjänsten | Olämpliga läkemedel . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .51 28. Olämpliga läkemedel i hemtjänsten,toc,omsorgsinsatser_och_boende,51,74,9856,data/corpus_2026/texts/sections/2015/R2015_S016_29-olampliga-lakemedel-i-sarskilt-boende.txt
R2015_S017,R2015,2015,17,"till 24,4 procent. Behandling med olämpliga läkemedel för personer i särskilt boende förekommer inte lika ofta som för dem med hemtjänst. 9,4 procent av personer","till 24,4 procent. Behandling med olämpliga läkemedel för personer i särskilt boende förekommer inte lika ofta som för dem med hemtjänst. 9,4 procent av personer",toc,omsorgsinsatser_och_boende,75,79,1761,data/corpus_2026/texts/sections/2015/R2015_S017_till-24-4-procent-behandling-med-olampliga-lakemed.txt
R2015_S018,R2015,2015,18,15effektiVitet figur 1: Kommunernas kostnad per äldre som känner sig mycket trygg i särskilt boende (varje prick motsvarar en kommun) 1600000 1200000 800000 400000 20 40 60Trygghet (%),15effektiVitet figur 1: Kommunernas kostnad per äldre som känner sig mycket trygg i särskilt boende (varje prick motsvarar en kommun) 1600000 1200000 800000 400000 20 40 60Trygghet (%),toc,omsorgsinsatser_och_boende,80,166,35392,data/corpus_2026/texts/sections/2015/R2015_S018_15effektivitet-figur-1-kommunernas-kostnad-per-ald.txt
R2016_S001,R2016,2016,1,"vänder myndigheten det gemensamma begreppet god vård och omsorg, som utgår från bestämmelserna i","vänder myndigheten det gemensamma begreppet god vård och omsorg, som utgår från bestämmelserna i",toc,ovrigt,2,2,2,data/corpus_2026/texts/sections/2016/R2016_S001_vander-myndigheten-det-gemensamma-begreppet-god-va.txt
R2016_S002,R2016,2016,2,vänds i 3 kap.,vänds i 3 kap.,toc,ovrigt,3,5,169,data/corpus_2026/texts/sections/2016/R2016_S002_vands-i-3-kap.txt
R2016_S003,R2016,2016,3,"§ socialtjänstlagen (2001:453), SoL, och","§ socialtjänstlagen (2001:453), SoL, och",toc,ovrigt,6,6,2,data/corpus_2026/texts/sections/2016/R2016_S003_socialtjanstlagen-2001-453-sol-och.txt
R2016_S004,R2016,2016,4,Självmord,"Aktuell utveckling | Äldre får vänta länge på akutmottagningen | Äldres behov i centrum – behovsinriktat och systematiskt arbetssätt | Äldres behov tillgodoses inte | Äldres levnadsvillkor är beroende av varje lands generella levnadsstandard | Äldres rätt att bo tillsammans | Befolkningsutveckling | duell plan, SIP, om den plan som avses i HSL och SoL (3 f § HSL och 2 kap | En svag ökning av tillförda resurser inom äldreomsorgen | En utvecklad och mer individanpassad primärvård | Individanpassad vård och omsorg | Jämlik vård och omsorg | Kommunal hälso- och sjukvård | Kompetensutveckling av vård- och omsorgspersonal | Kostnader för äldreomsorgen | Kunskapsbaserad vård och omsorg | Läkemedelshantering i kommunal hälso- och sjukvård | Nationella minoriteters rätt till äldreomsorg | Olämplig läkemedelsförskrivning till äldre minskar | Regionala skillnader i förekomst av LSS-insatser för personer äldre än 65 år | Sa mmanfattning | Säker vård och omsorg | Självmord | Socialtjänstens insatser | Tillgänglig vård och omsorg | Trygghetslarm och larmmottagning | Uppföljning av valfrihet i äldreomsorgen | Välfärdsteknik | Vilka flyttar in på särskilt boende?",toc | xlsx_heading_search,psykisk_halsa_ensamhet_alkohol,7,7,205,data/corpus_2026/texts/sections/2016/R2016_S004_sjalvmord.txt
R2016_S005,R2016,2016,5,1975 1495 92,1975 1495 92,toc,ovrigt,8,8,2,data/corpus_2026/texts/sections/2016/R2016_S005_1975-1495-92.txt
R2016_S006,R2016,2016,6,Inledning,God vård och omsorg | Inledning | Rapportens upplägg | ska förhindra skador. Verksamheten ska också präglas av rättssäkerhet. 1 I detta område ingår evidensbaserad praktik. | Undernäring,toc | xlsx_heading_search,ovrigt,9,9,433,data/corpus_2026/texts/sections/2016/R2016_S006_inledning.txt
R2016_S007,R2016,2016,7,D atakällor,D atakällor,toc,ovrigt,10,10,2,data/corpus_2026/texts/sections/2016/R2016_S007_d-atakallor.txt
R2016_S008,R2016,2016,8,Aktuell utveckling,2014 1 632 321 1/uni00A0953 Källa: SCB. | Aktuell utveckling | Befolkningsutveckling,toc,demografi_och_aktuell_utveckling,11,11,338,data/corpus_2026/texts/sections/2016/R2016_S008_aktuell-utveckling.txt
R2016_S009,R2016,2016,9,Antal år,Antal år,toc,ovrigt,12,13,498,data/corpus_2026/texts/sections/2016/R2016_S009_antal-ar.txt
R2016_S010,R2016,2016,10,Äldres levnadsvillkor är beroende av varje lands generella levnadsstandard,Äldres levnadsvillkor är beroende av varje lands generella levnadsstandard,toc,ovrigt,14,14,161,data/corpus_2026/texts/sections/2016/R2016_S010_aldres-levnadsvillkor-ar-beroende-av-varje-lands-g.txt
R2016_S011,R2016,2016,11,för den äldre.,för den äldre.,toc,ovrigt,15,15,206,data/corpus_2026/texts/sections/2016/R2016_S011_for-den-aldre.txt
R2016_S012,R2016,2016,12,Självmord,procent insatser från närstående. | Självmord,toc,psykisk_halsa_ensamhet_alkohol,16,16,464,data/corpus_2026/texts/sections/2016/R2016_S012_sjalvmord.txt
R2016_S013,R2016,2016,13,Aktuell utveckling Källa: OECD.,Aktuell utveckling Källa: OECD.,toc,demografi_och_aktuell_utveckling,17,17,411,data/corpus_2026/texts/sections/2016/R2016_S013_aktuell-utveckling-kalla-oecd.txt
R2016_S014,R2016,2016,14,R esurser för vård och omsorg,En svag ökning av tillförda resurser inom äldreomsorgen | R esurser för vård och omsorg,toc,ovrigt,18,18,449,data/corpus_2026/texts/sections/2016/R2016_S014_r-esurser-for-vard-och-omsorg.txt
R2016_S015,R2016,2016,15,Kostnader för äldreomsorgen,Kostnader för äldreomsorgen,toc,personal_kompetens_och_resurser,19,19,150,data/corpus_2026/texts/sections/2016/R2016_S015_kostnader-for-aldreomsorgen.txt
R2016_S016,R2016,2016,16,1980 2487 23,1980 2487 23 | Resurser för vård och omsorg,toc | xlsx_heading_search,ovrigt,20,20,510,data/corpus_2026/texts/sections/2016/R2016_S016_1980-2487-23.txt
R2016_S017,R2016,2016,17,S atsningen på en ökad bemanning inom äldreomsorgen,S atsningen på en ökad bemanning inom äldreomsorgen,toc,jamlikhet_och_minoritetsperspektiv,21,21,497,data/corpus_2026/texts/sections/2016/R2016_S017_s-atsningen-pa-en-okad-bemanning-inom-aldreomsorge.txt
R2016_S018,R2016,2016,18,Socialtjänstens insatser,Socialtjänstens insatser,toc,ovrigt,22,22,181,data/corpus_2026/texts/sections/2016/R2016_S018_socialtjanstens-insatser.txt
R2016_S019,R2016,2016,19,Vilka flyttar in på särskilt boende?,Satsningen på en ökad bemanning inom äldreomsorgen | Vilka flyttar in på särskilt boende?,toc | xlsx_heading_search,omsorgsinsatser_och_boende,23,24,526,data/corpus_2026/texts/sections/2016/R2016_S019_vilka-flyttar-in-pa-sarskilt-boende.txt
R2016_S020,R2016,2016,20,Kunskapsbaserad vård och omsorg,Kunskapsbaserad vård och omsorg | Olämplig läkemedelsförskrivning till äldre minskar,toc,ovrigt,25,28,1028,data/corpus_2026/texts/sections/2016/R2016_S020_kunskapsbaserad-vard-och-omsorg.txt
R2016_S021,R2016,2016,21,Regionala skillnader i förekomst av LSS-insatser för personer äldre än 65 år,Regionala skillnader i förekomst av LSS-insatser för personer äldre än 65 år,toc,ovrigt,29,30,555,data/corpus_2026/texts/sections/2016/R2016_S021_regionala-skillnader-i-forekomst-av-lss-insatser-f.txt
R2016_S022,R2016,2016,22,Kompetensutveckling av vård- och omsorgspersonal,Kompetensutveckling av vård- och omsorgspersonal,toc,personal_kompetens_och_resurser,31,33,945,data/corpus_2026/texts/sections/2016/R2016_S022_kompetensutveckling-av-vard-och-omsorgspersonal.txt
R2016_S023,R2016,2016,23,Säker vård och omsorg,Äldres behov tillgodoses inte | Säker vård och omsorg,toc,ovrigt,34,37,1276,data/corpus_2026/texts/sections/2016/R2016_S023_saker-vard-och-omsorg.txt
R2016_S024,R2016,2016,24,Trygghetslarm och larmmottagning,Läkemedelshantering i kommunal hälso- och sjukvård | Trygghetslarm och larmmottagning,toc,omsorgsinsatser_och_boende,38,38,336,data/corpus_2026/texts/sections/2016/R2016_S024_trygghetslarm-och-larmmottagning.txt
R2016_S025,R2016,2016,25,Und ernäring,Und ernäring,toc,ovrigt,39,39,360,data/corpus_2026/texts/sections/2016/R2016_S025_und-ernaring.txt
R2016_S026,R2016,2016,26,"5 F ördelningen av kostnaderna uppskattas till 20 procent sjukvårdskostnader, 40 procent offentlig omsorg och","5 F ördelningen av kostnaderna uppskattas till 20 procent sjukvårdskostnader, 40 procent offentlig omsorg och",toc,kommunal_halso_och_sjukvard,40,41,741,data/corpus_2026/texts/sections/2016/R2016_S026_5-f-ordelningen-av-kostnaderna-uppskattas-till-20.txt
R2016_S027,R2016,2016,27,Kommunal hälso- och sjukvård,Äldres behov i centrum – behovsinriktat och systematiskt arbetssätt | Individanpassad vård och omsorg | Kommunal hälso- och sjukvård,toc,kommunal_halso_och_sjukvard,42,43,564,data/corpus_2026/texts/sections/2016/R2016_S027_kommunal-halso-och-sjukvard.txt
R2016_S028,R2016,2016,28,En utvecklad och mer individanpassad primärvård,En utvecklad och mer individanpassad primärvård,toc,kommunal_halso_och_sjukvard,44,46,1242,data/corpus_2026/texts/sections/2016/R2016_S028_en-utvecklad-och-mer-individanpassad-primarvard.txt
R2016_S029,R2016,2016,29,Välfärdsteknik,Jämlik vård och omsorg | Välfärdsteknik,toc,digitalisering_och_valfardsteknik,47,47,445,data/corpus_2026/texts/sections/2016/R2016_S029_valfardsteknik.txt
R2016_S030,R2016,2016,30,A ndel utrikesfödda äldre ökar,A ndel utrikesfödda äldre ökar | Nationella minoriteters rätt till äldreomsorg,toc,jamlikhet_och_minoritetsperspektiv,48,48,332,data/corpus_2026/texts/sections/2016/R2016_S030_a-ndel-utrikesfodda-aldre-okar.txt
R2016_S031,R2016,2016,31,Äldre får vänta länge på akutmottagningen,Äldre får vänta länge på akutmottagningen,toc,kommunal_halso_och_sjukvard,49,49,375,data/corpus_2026/texts/sections/2016/R2016_S031_aldre-far-vanta-lange-pa-akutmottagningen.txt
R2016_S032,R2016,2016,32,Andel utrikesfödda äldre ökar,Andel utrikesfödda äldre ökar,xlsx_heading_search,jamlikhet_och_minoritetsperspektiv,50,50,420,data/corpus_2026/texts/sections/2016/R2016_S032_andel-utrikesfodda-aldre-okar.txt
R2016_S033,R2016,2016,33,Tillgänglig vård och omsorg,Tillgänglig vård och omsorg | Uppföljning av valfrihet i äldreomsorgen,toc,ovrigt,51,51,326,data/corpus_2026/texts/sections/2016/R2016_S033_tillganglig-vard-och-omsorg.txt
R2016_S034,R2016,2016,34,Äldres rätt att bo tillsammans,Äldres rätt att bo tillsammans,toc,jamlikhet_och_minoritetsperspektiv,52,55,1187,data/corpus_2026/texts/sections/2016/R2016_S034_aldres-ratt-att-bo-tillsammans.txt
R2016_S035,R2016,2016,35,Databaser,Databaser,toc,ovrigt,56,60,951,data/corpus_2026/texts/sections/2016/R2016_S035_databaser.txt
R2017_S001,R2017,2017,1,hur myndigheten anser att god vård och omsorg ska vara: • Kunskapsbaserad. Vården och omsorgen ska baseras på bästa tillgängliga kunskap och bygga på både vetenskap och beprövad erfarenhet.,hur myndigheten anser att god vård och omsorg ska vara: • Kunskapsbaserad. Vården och omsorgen ska baseras på bästa tillgängliga kunskap och bygga på både vetenskap och beprövad erfarenhet.,toc,ovrigt,1,1,9,data/corpus_2026/texts/sections/2017/R2017_S001_hur-myndigheten-anser-att-god-vard-och-omsorg-ska.txt
R2017_S002,R2017,2017,2,"specifika behov, förväntningar och integritet. Individen ska ges möjlighet att vara delaktig.","specifika behov, förväntningar och integritet. Individen ska ges möjlighet att vara delaktig.",toc,ovrigt,2,4,140,data/corpus_2026/texts/sections/2017/R2017_S002_specifika-behov-forvantningar-och-integritet-indiv.txt
R2017_S003,R2017,2017,3,Äldre och alkohol,Aktuell utveckling | Äldre förskrivs färre olämpliga läkemedel | Äldre och alkohol | Äldreomsorgens effektivitet | Allt fler får kommunal hälso- och sjukvård | Åtgärder vid nedsatt munhälsa | Bemanning inom äldreomsorgen | Blåsdysfunktion är ett folkhälsoproblem | Bostadstillägg för pensionärer | Den åldrande befolkningen | Förebygga fallolyckor | Fortsatt många äldre tar läkemedel som kan ge muntorrhet | Hälsofrämjande aktiviteter | Hemsjukvård och socialtjänstinsatser | Kommunal hälso- och sjukvård | Kompetensförsörjningen inom vården och omsorgen om äldre – en förstudie | Kostnader för vård och omsorg om äldre | Kunskapsbaserad vård och omsorg | Många problem med äldres läkemedelsanvändning kvarstår | Nationell statistik över personal i äldreomsorgen | Olika boenden för äldre | Resurser för vård och omsorg | Självmord är vanligare bland män än bland kvinnor | Socialtjänstinsatser till äldre personer | Stora kostnader för fallskador | Tandhälsa bland äldre | Väntetiden till särskilt boende har ökat,xlsx_heading_search,psykisk_halsa_ensamhet_alkohol,5,5,173,data/corpus_2026/texts/sections/2017/R2017_S003_aldre-och-alkohol.txt
R2017_S004,R2017,2017,4,Stöd till anhöriga,Äldre fortsätter få vänta länge på landets akutmottagningar | Äldres behov tillgodoses inte alltid | Allt vanligare med välfärdsteknik inom äldreomsorgen | Andelen utrikesfödda äldre ökar | Avstått läkemedel eftersom de inte haft råd | Basala hygienrutiner och klädregler omfattar fler verksamheter | Brist på kvalificerade tolkar hotar patientsäkerhet och personlig integritet | Brister i rapporteringen om äldres tandhälsa och nödvändig tandvård | En lyckad kompetenssatsning | En utmaning att samordna insatser | Flera utbildningssatsningar under 2016 | Från Äldres behov i centrum till Individens behov i centrum | Från samverkan till samordnad vård och omsorg | Jämlik vård och omsorg | Minoritetsspråk i äldreomsorgen | Nationella riktlinjer | Översyn av särskilt tandvårdsbidrag och tandvård till hälso- och sjukvårdsavgift | Palliativ vård behöver bli bättre | Personalkontinuitet i hemtjänsten | Säker vård och omsorg | Samordnad individuell plan | Stöd till anhöriga | Systematisk uppföljning på gruppnivå | Tandvårdsstödet missar äldre med låg inkomst | Tillgänglig vård och omsorg | Tvångs- och begränsningsåtgärder kan undvikas och förebyggas | Vägledning för anhörigstöd | Vårdrelaterade infektioner och antibiotikaanvändning inom särskilt boende,xlsx_heading_search,ovrigt,6,6,184,data/corpus_2026/texts/sections/2017/R2017_S004_stod-till-anhoriga.txt
R2017_S005,R2017,2017,5,Sammanfattning,Sammanfattning,toc,jamlikhet_och_minoritetsperspektiv,7,7,405,data/corpus_2026/texts/sections/2017/R2017_S005_sammanfattning.txt
R2017_S006,R2017,2017,6,Inledning,God vård och omsorg | Inledning | Rapportens upplägg,toc,ovrigt,8,8,341,data/corpus_2026/texts/sections/2017/R2017_S006_inledning.txt
